model,epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_precision,test_recall,test_f1
resnet18,1,0.12413946278149565,95.35303406271149,0.9837041679724224,0.953234133009414,0.9682294879703887,0.07242264844522375,98.08429118773947,0.9913344887348353,0.9828178694158075,0.9870578084555651,0.508724443280162,81.08974358974359,0.7698412698412699,0.9948717948717949,0.8680089485458613
resnet18,2,0.05991042784534726,97.92465598917212,0.992007377805103,0.9799574855754631,0.9859456156431409,0.08027994903494362,95.78544061302682,0.9963833634719711,0.9467353951890034,0.9709251101321585,0.29001653289947754,91.34615384615384,0.8962264150943396,0.9743589743589743,0.9336609336609336
resnet18,3,0.042321414326857744,98.53372434017595,0.9947884733292459,0.9854236258730641,0.9900839054157132,0.04938036069283761,99.23371647509579,0.9914675767918089,0.9982817869415808,0.9948630136986302,0.7340422148155108,82.8525641025641,0.7870182555780934,0.9948717948717949,0.8788221970554927
resnet18,4,0.03065550149566106,98.8720956462892,0.9957199633139713,0.9890677194047981,0.9923826934795856,0.033922412278996554,98.33971902937421,0.9982486865148862,0.979381443298969,0.9887250650477016,0.5658632141988701,87.33974358974359,0.8373101952277657,0.9897435897435898,0.9071680376028202
resnet18,5,0.02062132360740148,99.23302503947666,0.9972535855965823,0.9924081384755542,0.9948249619482497,0.039286698092272955,97.82886334610473,0.9964850615114236,0.9742268041237113,0.9852302345786272,0.499617609843158,88.62179487179488,0.8536585365853658,0.9871794871794872,0.915576694411415
resnet18,6,0.022383522255280633,99.16535077825401,0.9978593272171253,0.990889766170665,0.9943623342983392,0.054438176881297436,98.85057471264368,0.9880749574105622,0.9965635738831615,0.9923011120615911,1.1335190129611874,77.72435897435898,0.7372400756143668,1.0,0.8487486398258978
resnet18,7,0.018725059938694992,99.34581547484774,0.9981684981684982,0.9930154873975099,0.9955853250114173,0.054790849762339514,98.97828863346105,0.9914383561643836,0.9948453608247423,0.9931389365351629,1.2025674063804148,77.88461538461539,0.7386363636363636,1.0,0.8496732026143791
resnet18,8,0.015185897519913671,99.39093164899616,0.9978658536585366,0.9939265107804434,0.9958922866271109,0.0365332264564979,98.59514687100894,0.9982547993019197,0.9828178694158075,0.9904761904761905,0.5335349111537186,88.46153846153847,0.8502202643171806,0.9897435897435898,0.9146919431279621
resnet18,9,0.012300788990835166,99.54883825851567,0.9990850869167429,0.9948375341633768,0.996956786366403,0.11807672993790258,98.33971902937421,0.9781512605042016,1.0,0.9889549702633815,1.814302925307087,72.59615384615384,0.6951871657754011,1.0,0.8201892744479495
resnet18,10,0.01402131188119882,99.66162869388675,0.9978736330498177,0.9975706043121774,0.9977220956719818,0.03944685646042283,98.7228607918263,0.9982578397212544,0.9845360824742269,0.9913494809688581,0.7383037523791128,87.66025641025641,0.838012958963283,0.9948717948717949,0.9097303634232122
resnet50,1,0.17677779674879618,93.45815474847733,0.9848240232483048,0.9262071059823869,0.9546165884194053,0.07853651477801846,96.42401021711366,0.9928825622775801,0.9587628865979382,0.9755244755244755,0.2959222488869459,89.26282051282051,0.8629213483146068,0.9846153846153847,0.9197604790419162
resnet50,2,0.06713906579692747,97.67651703135574,0.9916769420468557,0.9769207409656848,0.9842435367905767,0.03849244287111445,98.46743295019157,0.9947916666666666,0.9845360824742269,0.9896373056994818,0.4130642034877569,87.82051282051282,0.8398268398268398,0.9948717948717949,0.9107981220657277
resnet50,3,0.04103582286852196,98.6013986013986,0.9944903581267218,0.9866383237169754,0.9905487804878049,0.13051096231517254,92.33716475095785,1.0,0.8969072164948454,0.9456521739130435,0.3150543794513513,90.22435897435898,0.902200488997555,0.9461538461538461,0.9236545682102628
resnet50,4,0.032534782915085575,98.7367471238439,0.996624731512734,0.9863346492559976,0.9914529914529915,0.036607578068180366,99.23371647509579,0.9948453608247423,0.9948453608247423,0.9948453608247423,0.7086296395394199,83.81410256410257,0.7955010224948875,0.9974358974358974,0.8850967007963595
resnet50,5,0.023119023285080115,99.32325738777352,0.9981679389312977,0.992711812936532,0.9954323995127893,0.03908379394303838,98.85057471264368,0.9948186528497409,0.9896907216494846,0.9922480620155039,0.5267867576315975,87.66025641025641,0.8365591397849462,0.9974358974358974,0.9099415204678363
resnet50,6,0.018331814739880874,99.39093164899616,0.9984737484737485,0.9933191618584877,0.9958897853554575,0.036692287524154654,99.10600255427842,0.9931389365351629,0.9948453608247423,0.9939914163090129,0.7562883448379767,84.4551282051282,0.8020618556701031,0.9974358974358974,0.8891428571428571
resnet50,7,0.017579225808314385,99.36837356192194,0.9981690570643882,0.9933191618584877,0.995738203957382,0.045634288840051024,98.7228607918263,0.993103448275862,0.9896907216494846,0.9913941480206541,0.8026183046974601,87.66025641025641,0.8365591397849462,0.9974358974358974,0.9099415204678363
resnet50,8,0.00896833700012561,99.70674486803519,0.9987834549878345,0.9972669298511995,0.9980246163197083,0.029802332318792035,98.85057471264368,0.9965337954939342,0.9879725085910653,0.9922346850733391,0.6943359398671115,86.85897435897436,0.8290598290598291,0.9948717948717949,0.9044289044289044
resnet50,9,0.0066770290815049895,99.77441912925784,0.9996955859969558,0.9972669298511995,0.9984797810884768,0.04229360775588158,99.36143039591316,0.9931623931623932,0.9982817869415808,0.9957155098543273,1.4577298626675435,79.32692307692308,0.7524177949709865,0.9974358974358974,0.8577728776185226
resnet50,10,0.022234268565466824,99.34581547484774,0.9981684981684982,0.9930154873975099,0.9955853250114173,0.032896228237517686,98.46743295019157,0.9982517482517482,0.9810996563573883,0.9896013864818024,0.7102381948184652,87.01923076923077,0.832258064516129,0.9923076923076923,0.9052631578947369
